Score	SuperPath Name	# SuperPath Total Genes	# SuperPath Matched Genes	Matched Genes (Symbols)
84.40922155	Innate Immune System	2024	103	"CSF1R, USP18, LEAP2, ADA2, TREML2, PRG2, CD101, MX1, ADAM8, CD180, MYD88, CD1D, CD300A, BTNL9, CD300LB, SLA, OAS1, CD36, OAS3, OASL, FGR, LILRA5, JUN, LILRB2, UNC93B1, LILRB3, IL15RA, IL16, METTL7A, ALOX5, RSAD2, CD53, FYN, IL1RN, IL20RB, CLEC10A, CLEC12A, NCF1, CD86, HERC3, HERC6, CDA, TNF, TRIB3, PLD2, SERPINB2, CYBB, C3AR1, RNF130, C5AR1, TRIM22, GLIPR1, RNF213, ICAM1, TXNIP, SIGLEC1, SIGLEC14, XAF1, SIGLEC5, SIGLEC6, IFI16, FCGR2B, IFI27, IFI30, IFI35, IFI6, IFIH1, IFIT1, IFIT2, TNFSF13B, IRF7, IFIT3, IFIT5, IFITM1, LPO, CCL2, CCL3, TP53, IFITM3, IRF9, NLRC4, VEGFA, S100A8, CFP, MPO, NLRP1, TLR1, TLR4, ISG15, ISG20, PILRA, CCND1, SAMHD1, EGR1, ITGAL, ITGAM, CCR2, H3C13, CD14, ITGB7, GBP2, RAB37, OAS2"
63.90935259	Overview of Interferons-mediated Signaling Pathway	163	28	"USP18, MX1, OAS1, OAS3, OASL, IL16, RSAD2, CXCR4, TNF, PARP14, XAF1, IFI27, IFI35, IFI6, IFIT1, IFIT2, IRF7, IFIT3, IFIT5, IFITM1, IFITM3, IRF9, ISG15, ISG20, SAMHD1, EGR1, GBP2, OAS2"
56.02594077	Cytokine Signaling in Immune System	730	50	"CSF1R, USP18, MX1, MYD88, SLA, OAS1, CD36, OAS3, OASL, JUN, IL15RA, IL16, ALOX5, RSAD2, FYN, IL1RN, IL20RB, CD86, TNF, SERPINB2, TRIM22, ICAM1, XAF1, IFI27, IFI30, IFI35, IFI6, IFIT1, IFIT2, TNFSF13B, IRF7, IFIT3, IFIT5, IFITM1, CCL2, CCL3, TP53, IFITM3, IRF9, VEGFA, ISG15, ISG20, CCND1, SAMHD1, EGR1, ITGAM, CCR2, H3C13, GBP2, OAS2"
53	Interferon Gamma Signaling	200	27	"USP18, MX1, OAS1, OAS3, OASL, RSAD2, TRIM22, ICAM1, XAF1, IFI27, IFI30, IFI35, IFI6, IFIT1, IFIT2, IRF7, IFIT3, IFIT5, IFITM1, IFITM3, IRF9, ISG15, ISG20, SAMHD1, EGR1, GBP2, OAS2"
29.82086418	Immunoregulatory Interactions Between A Lymphoid and A Non-Lymphoid Cell	134	16	"TREML2, CD1D, CD300A, CD300LB, LILRA5, LILRB2, LILRB3, ICAM1, SIGLEC1, SIGLEC5, SIGLEC6, FCGR2B, IFITM1, PILRA, ITGAL, ITGB7"
29.39685634	Host-pathogen Interaction of Human Coronaviruses - Interferon Induction	52	11	"USP18, MX1, MYD88, OAS1, OAS3, JUN, IFIH1, IRF7, IRF9, TLR4, OAS2"
27.23274474	NF-kappaB Signaling	327	23	"PIR, LSP1, MYD88, OAS1, GDF15, ALOX5, RSAD2, CXCR4, IL1RN, CD83, NCF1, TNF, SPIB, IFI16, IFIH1, TNFSF13B, IRF7, CCL2, MPO, NLRP1, TLR1, EGR1, CCR2"
23.8849989	Toll-like Receptor Signaling Pathway	285	20	"MX1, CD180, MYD88, OAS1, OAS3, JUN, CD86, TNF, RNF31, FCGR2B, IFIH1, IRF7, CCL3, TP53, IRF9, TLR1, TLR4, CCND1, CD14, OAS2"
23.71829794	Spinal Cord Injury	115	13	"NTN1, LILRB3, TNF, NGFR, ICAM1, TNFSF13B, CCL2, TP53, AIF1, TLR4, CCND1, EGR1, CCR2"
23.32835339	Immune Response to Tuberculosis	22	7	"MX1, OAS1, IFI35, IFIT1, IFIT3, IFITM1, IRF9"
21.84664316	Integrin Pathway	570	28	"ITGB4, PRG2, PIP5K1B, PRKAR2B, MYL11, CD36, FGR, JUN, CXCL16, FYN, CXCR4, NCF1, CYBB, ICAM1, GNAI1, CFL2, CCL2, CCL3, CACNA2D3, GNG4, GNG7, CACNB1, VEGFA, COL11A2, ITGAL, ITGAM, CCR2, ITGB7"
21.6285326	LDL Oxidation in Atherogenesis	16	6	"CD36, TNF, ICAM1, CCL2, CCL3, MPO"
21.59391804	Akt Signaling	682	31	"ITGB4, CSF1R, MYD88, AXL, UTS2, IL15RA, IL16, CX3CR1, GDF15, CXCL16, PLCD3, CXCR4, NCF1, KLF10, TNF, NGFR, TYMP, GNAI1, TNFSF13B, CCL2, CCL3, TP53, GNG4, GNG7, TLR1, TLR4, CCND1, ITGAL, ITGAM, CCR2, ITGB7"
20.65678399	Class I MHC Mediated Antigen Processing and Presentation	855	35	"TREML2, CD101, MYD88, CD1D, CD300A, BTNL9, CD300LB, CD36, LILRA5, LILRB2, LILRB3, FYN, NCF1, CD86, HERC3, HERC6, TRIB3, EPAS1, CYBB, RNF130, RNF213, ICAM1, SIGLEC1, SIGLEC5, SIGLEC6, FCGR2B, IFI30, IFITM1, S100A8, TLR1, TLR4, PILRA, ITGAL, CD14, ITGB7"
19.74232493	A-beta Uptake and Degradation	32	7	"CD36, CX3CR1, C3AR1, CCL2, TLR4, CCR2, CD14"
19.46134133	MyD88 Dependent Cascade Initiated on Endosome	175	14	"USP18, CD180, MYD88, CD36, JUN, UNC93B1, IFIH1, IRF7, TP53, S100A8, TLR1, TLR4, ITGAM, CD14"
18.73992849	SARS-CoV-2 Innate Immunity Evasion and Cell-specific Immune Response	51	8	"MX1, TNF, IFIT2, IRF7, IFITM1, CCL2, CCL3, TP53I3"
18.59114455	Toll-Like Receptor Signaling Pathways	134	12	"MYD88, CD36, JUN, NAIP, TNF, IRF7, NLRC4, NLRP1, TLR1, TLR4, NLRP12, CD14"
18.53581946	Netrin-UNC5B Signaling Pathway	52	8	"ITGB4, NTN1, JUN, FYN, TNF, ICAM1, CCL2, TP53"
18.37497691	Type II Interferon Signaling	37	7	"OAS1, CYBB, ICAM1, IFI6, IFIT2, IRF9, ISG15"
18.34800465	Extrafollicular B Cell Activation By SARS-CoV-2	71	9	"CD1D, PTCRA, GPR183, CXCR4, TNF, IFIT2, IFITM1, TLR4, ISG15"
17.94693442	P53 Transcriptional Gene Network	94	10	"SESN2, DDIT4, DRAM1, SLC7A11, TNF, ICAM1, CCL2, TP53I3, IRF9, ISG15"
17.57619791	Diseases of Immune System	57	8	"MYD88, CD36, UNC93B1, IRF7, S100A8, TLR1, TLR4, CD14"
17.01758466	Prostaglandin Signaling	28	6	"TNF, IRF7, CCL2, CCL3, VEGFA, CCR2"
16.7949287	PAK Pathway	686	28	"CSF1R, PRKAR2B, MYL11, UTS2, JUN, IL15RA, IL16, CX3CR1, GDF15, CXCL16, FYN, PLCD3, CXCR4, NCF1, KLF10, TNF, PLD2, CYBB, NGFR, TYMP, DLL1, TNFSF13B, SLC2A14, SLC2A6, CFL2, CCL2, CCL3, CCR2"
16.15637291	Interleukin-10 Signaling	47	7	"IL1RN, CD86, TNF, ICAM1, CCL2, CCL3, CCR2"
15.52153339	"Bupropion Pathway, Pharmacokinetics"	20	5	"AKR1C1, AKR1C2, AKR1C3, AKR1C4, HSD11B1"
