Ensembl ID,Gene Name,S13,S14,S15,S16,S17,S18,Avg Grp 1,Avg Grp 2,Fold chg (2+/-),Max Avg > 1,Min,Max,Max/Min < 2,DELV?,Min,Max ,Max/Min < 2,DELV?,2 DELVs?,SRMM,SRMM?,Abs fold,Abs diff,Rank fold,Rank diff,Wgt rank
ENSG00000197629,MPEG1,6.739494,5.879509,5.027598,0.055873,0.1095,0.044844,5.882200333,0.070072333,-83.94469049,5.882200333,5.027598,6.739494,1.340499777,KEEP,0.044844,0.1095,2.441798234,,,-45.91413699,KEEP,83.945,5.812,1,142,15.1
ENSG00000165949,IFI27,2.755112,7.604843,14.608906,0.36354,0.217731,0.765178,8.322953667,0.448816333,-18.54423079,8.322953667,2.755112,14.608906,5.30247264,,0.217731,0.765178,3.514327312,,,-3.600615804,KEEP,18.544,7.874,5,117,16.2
ENSG00000132274,TRIM22,17.500774,20.095716,15.879584,2.72892,0.301952,0.508815,17.825358,1.179895667,-15.10757138,17.825358,15.879584,20.095716,1.265506452,KEEP,0.301952,2.72892,9.037595379,,,-5.818999458,KEEP,15.108,16.645,12,60,16.8
ENSG00000088827,SIGLEC1,9.85303,9.935243,9.314734,0.645025,0.574203,0.373632,9.701002333,0.530953333,-18.27091333,9.701002333,9.314734,9.935243,1.066615858,KEEP,0.373632,0.645025,1.726364444,KEEP,KEEP,-14.44088834,KEEP,18.271,9.170,8,102,17.4
ENSG00000111331,OAS3,18.362326,17.497816,14.707197,1.156912,1.227515,1.359738,16.85577967,1.248055,-13.50563851,16.85577967,14.707197,18.362326,1.248526555,KEEP,1.156912,1.359738,1.175316705,KEEP,KEEP,-10.81619915,KEEP,13.506,15.608,15,63,19.8
ENSG00000089127,OAS1,28.117582,30.590029,21.313332,3.048962,3.063125,1.959415,26.67364767,2.690500667,-9.914008942,26.67364767,21.313332,30.590029,1.435253249,KEEP,1.959415,3.063125,1.56328547,KEEP,KEEP,-6.95803534,KEEP,9.914,23.983,18,41,20.3
ENSG00000152270,PDE3B,8.80949,8.365775,8.422027,0.63182,0.474156,0.523947,8.532430667,0.543307667,-15.704602,8.532430667,8.365775,8.80949,1.053039318,KEEP,0.474156,0.63182,1.332515037,KEEP,KEEP,-13.24075686,KEEP,15.705,7.989,10,115,20.5
ENSG00000107020,PLGRKT,18.595026,13.843016,17.878803,1.342187,1.176859,1.932413,16.77228167,1.483819667,-11.30345017,16.77228167,13.843016,18.595026,1.343278517,KEEP,1.176859,1.932413,1.642008941,KEEP,KEEP,-7.163590806,KEEP,11.303,15.288,16,67,21.1
ENSG00000119917,IFIT3,11.164284,11.988563,10.592187,0.571827,2.035891,0.424135,11.24834467,1.010617667,-11.13016825,11.24834467,10.592187,11.988563,1.131830754,KEEP,0.424135,2.035891,4.800101383,,,-5.202727946,KEEP,11.130,10.238,17,91,24.4
ENSG00000123689,G0S2,57.191952,51.792927,54.223972,6.420935,8.272122,6.66695,54.40295033,7.120002333,-7.640861307,54.40295033,51.792927,57.191952,1.104242516,KEEP,6.420935,8.272122,1.288304896,KEEP,KEEP,-6.261141579,KEEP,7.641,47.283,25,29,25.4
ENSG00000027075,PRKCH,0.110476,0.155155,0.23655,3.771854,3.366153,2.856768,0.167393667,3.331591667,19.90273427,3.331591667,0.110476,0.23655,2.141189037,,2.856768,3.771854,1.320322126,KEEP,,12.07680406,KEEP,19.903,3.164,4,220,25.6
ENSG00000161929,SCIMP,3.192587,3.168027,3.898094,0.120415,0.252279,0.182527,3.419569333,0.185073667,-18.47680113,3.419569333,3.168027,3.898094,1.230448478,KEEP,0.120415,0.252279,2.095079517,,,-12.55763262,KEEP,18.477,3.234,6,216,27
ENSG00000142405,NLRP12,4.684126,4.935735,4.510739,0.397143,0.318615,0.212938,4.7102,0.309565333,-15.21552801,4.7102,4.510739,4.935735,1.094218708,KEEP,0.212938,0.397143,1.865064009,KEEP,KEEP,-11.35797181,KEEP,15.216,4.401,11,173,27.2
ENSG00000137959,IFI44L,1.615806,3.946814,1.462382,0.084348,0.088976,0.073947,2.341667333,0.082423667,-28.41013301,2.341667333,1.462382,3.946814,2.698893996,,0.073947,0.088976,1.203240158,KEEP,,-16.43569052,KEEP,28.410,2.259,3,261,28.8
ENSG00000023902,PLEKHO1,2.688246,3.553112,3.494447,0.159876,0.24511,0.123064,3.245268333,0.176016667,-18.43727867,3.245268333,2.688246,3.553112,1.321721301,KEEP,0.123064,0.24511,1.991727881,KEEP,KEEP,-10.96750847,KEEP,18.437,3.069,7,228,29.1
ENSG00000126759,CFP,27.066586,28.173613,28.354553,5.271652,4.790966,1.737447,27.86491733,3.933355,-7.084261993,27.86491733,27.066586,28.354553,1.04758513,KEEP,1.737447,5.271652,3.034136869,,,-5.134365091,KEEP,7.084,23.932,29,42,30.3
ENSG00000137965,IFI44,10.017251,9.004884,8.627214,1.17309,1.057243,1.118386,9.216449667,1.116239667,-8.256694276,9.216449667,8.627214,10.017251,1.161122351,KEEP,1.057243,1.17309,1.10957462,KEEP,KEEP,-7.354264379,KEEP,8.257,8.100,22,113,31.1
ENSG00000132514,CLEC10A,1.803894,1.408522,2.126057,0.049989,0.077824,0.01,1.779491,0.045937667,-38.7370785,1.779491,1.408522,2.126057,1.509424063,KEEP,0.01,0.077824,7.7824,,,-18.09881271,KEEP,38.737,1.734,2,304,32.2
ENSG00000101849,TBL1X,5.188952,1.701339,1.231599,0.1564,0.142681,0.183009,2.707296667,0.160696667,-16.84724844,2.707296667,1.231599,5.188952,4.213183025,,0.142681,0.183009,1.282644501,KEEP,,-6.729718211,KEEP,16.847,2.547,9,244,32.5
ENSG00000111335,OAS2,34.606094,34.240486,27.74914,6.528495,3.850367,4.659415,32.19857333,5.012759,-6.423323629,32.19857333,27.74914,34.606094,1.247105099,KEEP,3.850367,6.528495,1.695551359,KEEP,KEEP,-4.250465077,KEEP,6.423,27.186,33,37,33.4
ENSG00000170458,CD14,5.425133,4.828337,5.83025,0.674041,0.810086,0.400732,5.36124,0.628286333,-8.53311574,5.36124,4.828337,5.83025,1.20750685,KEEP,0.400732,0.810086,2.021515626,,,-5.960277057,KEEP,8.533,4.733,20,166,34.6
ENSG00000139278,GLIPR1,2.241678,5.030274,2.530113,0.27121,0.189265,0.264387,3.267355,0.241620667,-13.52266362,3.267355,2.241678,5.030274,2.243977056,,0.189265,0.27121,1.432964362,KEEP,,-8.265469562,KEEP,13.523,3.026,14,229,35.5
ENSG00000126709,IFI6,156.173279,165.242355,144.834213,27.352568,26.874083,28.321646,155.4166157,27.516099,-5.648206734,155.4166157,144.834213,165.242355,1.140906914,KEEP,26.874083,28.321646,1.053864647,KEEP,KEEP,-5.113905209,KEEP,5.648,127.901,42,10,38.8
ENSG00000133106,EPSTI1,3.267252,3.912676,3.221024,0.362521,0.563932,0.415065,3.466984,0.447172667,-7.753121464,3.466984,3.221024,3.912676,1.214730471,KEEP,0.362521,0.563932,1.555584366,KEEP,KEEP,-5.711724109,KEEP,7.753,3.020,23,230,43.7
ENSG00000072134,EPN2,1.093736,0.588711,0.566861,5.865193,7.34675,2.377889,0.749769333,5.196610667,6.930945873,5.196610667,0.566861,1.093736,1.929460661,KEEP,2.377889,7.34675,3.089610154,,,2.174097771,KEEP,6.931,4.447,30,169,43.9
ENSG00000141642,ELAC1,7.141535,6.476572,5.310841,0.823661,1.008264,1.044935,6.309649333,0.958953333,-6.579725117,6.309649333,5.310841,7.141535,1.34470887,KEEP,0.823661,1.044935,1.268646931,KEEP,KEEP,-5.082460632,KEEP,6.580,5.351,32,152,44
ENSG00000165168,CYBB,4.779145,3.560556,3.585057,0.590488,0.386168,0.590806,3.974919333,0.522487333,-7.607685545,3.974919333,3.560556,4.779145,1.342246829,KEEP,0.386168,0.590806,1.52991962,KEEP,KEEP,-6.026607719,KEEP,7.608,3.452,26,209,44.3
ENSG00000167601,AXL,1.75579,3.590968,1.385513,0.264802,0.235127,0.245623,2.244090333,0.248517333,-9.029914748,2.244090333,1.385513,3.590968,2.591796685,,0.235127,0.264802,1.12620839,KEEP,,-5.23226033,KEEP,9.030,1.996,19,285,45.6
ENSG00000162614,NEXN,2.665226,7.432775,1.437019,0.501231,0.656689,0.462248,3.845006667,0.540056,-7.119644383,3.845006667,1.437019,7.432775,5.172356803,,0.462248,0.656689,1.420642166,KEEP,,-2.188279383,KEEP,7.120,3.305,28,214,46.6
ENSG00000185745,IFIT1,3.891022,4.077641,2.861887,0.374148,0.44744,0.629396,3.610183333,0.483661333,-7.464279413,3.610183333,2.861887,4.077641,1.424808527,KEEP,0.374148,0.629396,1.682211317,KEEP,KEEP,-4.547037159,KEEP,7.464,3.127,27,223,46.6
ENSG00000130487,KLHDC7B,2.686539,2.836557,2.938686,0.317049,0.516634,0.259239,2.820594,0.364307333,-7.742347578,2.820594,2.686539,2.938686,1.093855701,KEEP,0.259239,0.516634,1.992886873,KEEP,KEEP,-5.200081683,KEEP,7.742,2.456,24,252,46.8
