Ensembl ID,Gene Name,S13,S14,S15,S16,S17,S18,Max
ENSG00000168913,ENHO,1.903922,0.879811,1.22105,0.01,0.01,0.01,1.903922
ENSG00000164708,PGAM2,1.58403,0.465907,0.688614,0.01,0.01,0.01,1.58403
ENSG00000130822,PNCK,0.41631,1.534776,5.040688,0.331697,0.777991,0.01,5.040688
ENSG00000205923,CEMP1,0.01,0.01,0.01,2.681621,2.582821,0.01,2.681621
ENSG00000185666,SYN3,0.010952,1.212334,0.01,0.01,0.01,0.01,1.212334
ENSG00000198513,ATL1,0.716584,1.097363,0.023774,0.174865,0.019088,0.01,1.097363
ENSG00000196562,SULF2,0.554159,0.638281,0.834557,0.281734,4.085558,0.01,4.085558
ENSG00000132514,CLEC10A,1.803894,1.408522,2.126057,0.049989,0.077824,0.01,2.126057
ENSG00000166444,DENND2B,0.114977,0.053347,0.398294,0.01,1.085348,0.01,1.085348
ENSG00000135218,CD36,4.890548,0.1408,0.148298,0.014857,0.011224,0.0106,4.890548
ENSG00000197555,SIPA1L1,0.028466,0.024246,1.106309,0.148758,0.020363,0.018005,1.106309
ENSG00000126895,AVPR2,1.115363,0.882007,0.741511,0.10059,0.127151,0.026912,1.115363
ENSG00000237489,C10orf143,0.039674,1.093098,0.108565,0.026622,0.032329,0.02849,1.093098
ENSG00000143919,CAMKMT,1.929363,0.01891,0.29157,0.02785,0.023075,0.029569,1.929363
ENSG00000151773,CCDC122,1.12764,0.036911,0.641593,0.019858,0.021902,0.030559,1.12764
ENSG00000112559,MDFI,0.058547,0.028871,0.015759,1.011675,0.01,0.038141,1.011675
ENSG00000154822,PLCL2,1.446778,0.042429,0.034707,0.038658,1.317712,0.038203,1.446778
ENSG00000180891,CUEDC1,1.040405,1.471243,0.812874,0.057752,1.678475,0.04449,1.678475
ENSG00000197629,MPEG1,6.739494,5.879509,5.027598,0.055873,0.1095,0.044844,6.739494
ENSG00000179241,LDLRAD3,0.037866,1.290418,1.081236,0.037871,0.052315,0.045503,1.290418
ENSG00000105352,CEACAM4,0.518293,1.134198,1.774778,0.651314,0.236863,0.04778,1.774778
ENSG00000157985,AGAP1,0.097669,0.408731,0.252989,2.277786,0.05321,0.051177,2.277786
ENSG00000162188,GNG3,0.534064,0.759281,1.235241,0.87299,0.149575,0.051293,1.235241
ENSG00000141665,FBXO15,0.052168,0.195849,1.217491,0.1218,0.091458,0.051305,1.217491
ENSG00000155011,DKK2,0.059272,1.139264,0.875828,0.035288,0.893466,0.052015,1.139264
ENSG00000134146,DPH6,0.029316,1.63679,0.090545,0.048593,0.038055,0.053483,1.63679
ENSG00000185716,MOSMO,1.096256,1.735433,1.489952,1.077899,0.935467,0.054066,1.735433
