Ensembl ID,Gene Name,S13,S14,S15,S16,S17,S18,Avg Grp 1,Avg Grp 2,Fold chg (2+/-),Max Avg > 1,Min,Max,Max/Min < 2,DELV?,Min,Max ,Max/Min < 2,DELV?,2 DELVs?,SRMM,SRMM?
ENSG00000118785,SPP1,1.001492,1.167308,1.645213,0.079766,0.08352,0.113814,1.271337667,0.092366667,-13.76403104,1.271337667,1.001492,1.645213,1.642761999,KEEP,0.079766,0.113814,1.426848532,KEEP,KEEP,-8.799374418,KEEP
ENSG00000149131,SERPING1,1.041817,1.120598,1.851951,0.39392,0.640746,0.563493,1.338122,0.532719667,-2.511868969,1.338122,1.041817,1.851951,1.777616414,KEEP,0.39392,0.640746,1.626589155,KEEP,KEEP,-1.625943822,KEEP
ENSG00000138642,HERC6,1.680269,1.587071,1.052168,0.32837,0.17684,0.205698,1.439836,0.236969333,-6.076043595,1.439836,1.052168,1.680269,1.596958851,KEEP,0.17684,0.32837,1.856876272,KEEP,KEEP,-3.204214758,KEEP
ENSG00000130540,SULT4A1,1.621733,1.394449,1.069741,0.55582,0.65424,0.486603,1.361974333,0.565554333,-2.408211295,1.361974333,1.069741,1.621733,1.516005276,KEEP,0.486603,0.65424,1.344504658,KEEP,KEEP,-1.63508957,KEEP
ENSG00000171794,UTF1,1.113389,1.654736,1.07301,0.558502,0.523856,0.598391,1.280378333,0.560249667,-2.285370986,1.280378333,1.07301,1.654736,1.542144062,KEEP,0.523856,0.598391,1.142281467,KEEP,KEEP,-1.793158654,KEEP
ENSG00000196427,NBPF4,1.381034,1.07323,1.308597,0.444989,0.667087,0.367832,1.254287,0.493302667,-2.542631704,1.254287,1.07323,1.381034,1.286801524,KEEP,0.367832,0.667087,1.813564345,KEEP,KEEP,-1.608830632,KEEP
ENSG00000166436,TRIM66,1.074975,1.676506,1.36089,0.641496,0.415395,0.434011,1.370790333,0.496967333,-2.758310741,1.370790333,1.074975,1.676506,1.559576734,KEEP,0.415395,0.641496,1.544303615,KEEP,KEEP,-1.675731415,KEEP
ENSG00000196209,SIRPB2,1.431658,1.077649,1.204488,0.555712,0.661029,0.358769,1.237931667,0.52517,-2.357201795,1.237931667,1.077649,1.431658,1.32850121,KEEP,0.358769,0.661029,1.842491966,KEEP,KEEP,-1.630259792,KEEP
ENSG00000268163,AC004076.1,1.092861,1.930031,1.225941,0.593993,0.669916,0.581284,1.416277667,0.615064333,-2.302649642,1.416277667,1.092861,1.930031,1.766035205,KEEP,0.581284,0.669916,1.152476242,KEEP,KEEP,-1.631340347,KEEP
ENSG00000108691,CCL2,1.151814,1.343243,1.531047,0.3098,0.341451,0.198918,1.342034667,0.283389667,-4.735651382,1.342034667,1.151814,1.531047,1.329248472,KEEP,0.198918,0.341451,1.716541489,KEEP,KEEP,-3.373292215,KEEP
ENSG00000091106,NLRC4,1.174472,1.157648,1.324733,0.390567,0.498053,0.545735,1.218951,0.478118333,-2.549475548,1.218951,1.157648,1.324733,1.144331438,KEEP,0.390567,0.545735,1.397289069,KEEP,KEEP,-2.121263983,KEEP
