Score	SuperPath Name	# SuperPath Total Genes	# SuperPath Matched Genes	Matched Genes (Symbols)
127.2689204	"Cell Cycle, Mitotic"	692	75	"CHEK1, POLE2, MCM10, MCM2, MCM4, MCM5, CDT1, MYBL2, NEK2, KIF20A, NUF2, KIF23, SPC24, SPC25, BUB1, BUB1B, KIF2C, H4C9, CENPA, RMI2, CENPF, CENPI, CENPM, CENPU, RRM2, DSCC1, PKMYT1, OIP5, SGO1, HSPA2, NCAPG, NCAPG2, NCAPH, CDC20, CDC25A, CDC25C, GINS1, GINS2, GINS3, E2F1, E2F2, CLSPN, NDC80, RAD51, CDC45, CDC6, CDCA5, CDCA8, TYMS, GTSE1, HJURP, MND1, PLK1, PLK4, FOXM1, HMMR, TOP2A, FEN1, RFC3, ORC1, TK1, KNL1, UBE2C, ESPL1, CCNA2, CCNB1, CCNB2, CCND1, CCNE2, UBE2S, BIRC5, H2BC12, TPX2, SKA1, EXO1"
88.96701658	Cell Cycle Checkpoints	293	43	"CHEK1, MCM10, MCM2, MCM4, MCM5, NUF2, SPC24, SPC25, BUB1, BUB1B, KIF2C, H4C9, CENPA, RMI2, CENPF, CENPI, CENPM, CENPU, PKMYT1, SGO1, CDC20, CDC25A, CDC25C, CLSPN, NDC80, CDC45, CDC6, CDCA8, GTSE1, PLK1, RFC3, ORC1, KNL1, UBE2C, CCNA2, CCNB1, CCNB2, CCNE2, UBE2S, BIRC5, H2BC12, SKA1, EXO1"
72.10557139	DNA Damage	296	38	"CHEK1, MCM2, MCM4, CDT1, FANCB, PBK, BUB1B, CENPA, CENPF, CENPI, PKMYT1, TRIB2, CDC20, CDC25A, CDC25C, E2F1, CLSPN, RAD51, CDC45, CDC6, CDCA2, RAD54L, TYMS, HJURP, PLK1, FOXM1, TOP2A, FEN1, ORC1, UBE2C, CCNA2, CCNB1, CCND1, CCNE2, CCNF, UBE2S, UBE2T, TPX2"
54.67827869	Activation of The Pre-replicative Complex	112	22	"CHEK1, POLE2, MCM10, MCM2, MCM4, MCM5, CDT1, CDC25A, CDC25C, GINS1, GINS2, GINS3, E2F1, CLSPN, RAD51, CDC45, CDC6, PLK1, FEN1, RFC3, ORC1, CCNA2"
54.4307339	Retinoblastoma Gene in Cancer	86	20	"CHEK1, POLE2, MCM4, CDT1, KIF4A, RRM2, CDC25A, E2F1, E2F2, CDC45, TYMS, PLK4, TOP2A, RFC3, ORC1, CCNA2, CCNB1, CCNB2, CCND1, CCNE2"
52	EML4 and NUDC in Mitotic Spindle Formation	248	29	"NEK2, NUF2, SPC24, SPC25, BUB1, BUB1B, KIF2C, CENPA, CENPF, CENPI, CENPM, CENPU, SGO1, NCAPG, NCAPH, CDC20, NDC80, DIAPH3, CDCA5, CDCA8, PLK1, PLK4, KNL1, UBE2C, CCNB1, CCNB2, UBE2S, BIRC5, SKA1"
48.830075	Cell Cycle	137	22	"CHEK1, POLE2, MCM2, MCM4, MCM5, BUB1, PKMYT1, CDC20, CDC25A, CDC25C, E2F1, E2F2, CDC45, CDC6, PLK1, ORC1, ESPL1, CCNA2, CCNB1, CCNB2, CCND1, CCNE2"
43.4627816	G0 and Early G1	37	13	"CDT1, MYBL2, RRM2, CDC25A, E2F1, CDC45, CDC6, TYMS, TOP2A, ORC1, TK1, CCNA2, CCNE2"
43.10215454	Mitotic G1 Phase and G1/S Transition	149	21	"POLE2, MCM10, MCM2, MCM4, MCM5, CDT1, MYBL2, RRM2, CDC25A, E2F1, E2F2, CDC45, CDC6, TYMS, TOP2A, ORC1, TK1, CCNA2, CCNB1, CCND1, CCNE2"
41.73497106	Separation of Sister Chromatids	237	25	"NUF2, SPC24, SPC25, BUB1, BUB1B, KIF2C, CENPA, CENPF, CENPI, CENPM, CENPU, SGO1, CDC20, NDC80, CDCA5, CDCA8, PLK1, KNL1, UBE2C, ESPL1, CCNB1, CCNB2, UBE2S, BIRC5, SKA1"
39.56550208	PLK1 Signaling Events	46	13	"KIF20A, SPC24, BUB1, BUB1B, CENPU, SGO1, CDC20, CDC25C, CLSPN, NDC80, PLK1, CCNB1, TPX2"
34.86244845	Regulation of Activated PAK-2p34 By Proteasome Mediated Degradation	943	46	"CHEK1, SMO, POLE2, MCM2, LEF1, MCM4, MCM5, CDT1, NEK2, CARD11, SPP1, BUB1B, KIF7, ABCB4, JUN, HSPA2, SEPTIN5, DERL3, TNF, CDC20, CDC25A, GINS1, GINS2, GINS3, E2F1, SMAD1, CDC45, CDC6, CDCA5, GTSE1, PLK1, WWTR1, AGMAT, ZFP36L1, FEN1, RFC3, ORC1, UBE2C, CCNA2, CCNB1, CCNB2, CCND1, CCNE2, UBE2S, ETV4, EGLN3"
33.77232061	Aurora B Signaling	39	11	"KIF20A, KIF23, BUB1, KIF2C, CENPA, SGO1, NCAPG, NCAPH, NDC80, CDCA8, BIRC5"
32.76010085	Cell Cycle_Role of APC in Cell Cycle Regulation	54	12	"NEK2, BUB1, BUB1B, CDC20, CDC25A, CDC6, CDCA3, PLK1, ORC1, CCNA2, CCNB1, CCNB2"
30.68110253	FOXM1 Transcription Factor Network	36	10	"NEK2, CENPA, CENPF, PLK1, FOXM1, CCNB1, CCNB2, CCND1, BIRC5, ETV5"
